model,display_name,provider,access_date,temperature_requested,top_p_requested,max_output_tokens,system_prompt,prompt_order,retry_policy
anthropic/claude-sonnet-4-6@default,Claude Sonnet 4.6,Anthropic,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
anthropic/claude-opus-4-6@default,Claude Opus 4.6,Anthropic,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
google/gemma-4-31b,Gemma 4 31B,Google,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
google/gemini-2.5-flash,Gemini 2.5 Flash,Google,"April 4, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
deepseek-ai/deepseek-v3.2,DeepSeek V3.2,DeepSeek,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
zai/glm-5,GLM-5,Zhipu AI,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
anthropic/claude-sonnet-4@20250514,Claude Sonnet 4,Anthropic,"April 14, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
anthropic/claude-opus-4-5@20251101,Claude Opus 4.5,Anthropic,"April 14, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
openai/gpt-5.4-2026-03-05,GPT-5.4,OpenAI,"April 4, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
anthropic/claude-sonnet-4-5@20250929,Claude Sonnet 4.5,Anthropic,"April 15, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash Lite,Google,"April 6, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
google/gemini-3.1-pro-preview,Gemini 3.1 Pro,Google,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
anthropic/claude-haiku-4-5@20251001,Claude Haiku 4.5,Anthropic,"April 6, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
qwen/qwen3-235b-a22b-instruct-2507,Qwen3 235B,Alibaba,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
openai/gpt-5.4-mini-2026-03-17,GPT-5.4 mini,OpenAI,"April 5, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
openai/gpt-5.4-nano-2026-03-17,GPT-5.4 nano,OpenAI,"April 14, 2026",0.0,1.0,512,empty or omitted,"Control, Trap, Paraphrase Twin, Format Twin; independent single-turn requests",exponential back-off; maximum 5 retries for transient errors
